Clade	Taxon	Eggshell_thickness	Egg_mass	Prismatic_layer
Squamates	Hemidactylus_bouvieri	55	0.40824	Present
Squamates	Mediodactylus_kotschyi	39	0.25962888	Present
Squamates	Phelsuma_madagascariensis	130	2.39841	Present
Squamates	Ptyodactylus_hasselquistii	150	1.31747672	Present
Squamates	Tarentola_gigas	33	4.48	Present
Squamates	Tarentola_mauritanica	41.3	0.76639416	Present
Squamates	Agama_planiceps	42.5	0.58968	Absent
Squamates	Kinyongia_tavetana	2.5	0.35672	Absent
Squamates	Anolis_carolinensis	50	0.21168	Absent
Squamates	Lacerta_viridis	6	1.21968	Absent
Squamates	Lampropeltis_getula	12	15.79687872	Absent
Squamates	Pantherophis_guttatus	10	6.62010552	Absent
Squamates	Python_molurus	55	230	Absent
Squamates	Calloselasma_rhodostoma	6.3	10.32192	Absent
Squamates	Elgaria_multicarinata	9	1.024884	Absent
Squamates	Bronchocela_marmorata	9	2.944704929	Absent
Squamates	Cryptoblepharus_poecilopleurus	6.5	2.078363992	Absent
Squamates	Crotalus_viridis	3	2.502033408	Absent
Squamates	Masticophis_bilineatus	45	9.448017869	Absent
Squamates	Pituophis_catenifer	22.4	27.8208	Absent
Squamates	Phrynosoma_cornutum	6	0.63504	Absent
Squamates	Coluber_constrictor	5.6	5.55319296	Absent
Squamates	Iguana_iguana	18.1	19.42247776	Absent
Squamates	Tupinambis_teguixin	56.2	21.17660863	Absent
Squamates	Heterodon_platirhinos	13.1	7.003584	Absent
Squamates	Masticophis_flagellum	35.3	12.9024	Absent
Squamates	Aspidoscelis_sexlineatus	8.9	0.858505122	Absent
Squamates	Sceloporus_undulatus	5.4	0.37899848	Absent
Squamates	Bothrops_atrox	5.6	13.01416632	Absent
Squamates	Sceloporus_magister	6.4	0.84	Absent
Squamates	Kentropyx_altamazonica	15.7	1.267438234	Absent
Squamates	Micrurus_mipartitus	4.5	2.074469338	Absent
Squamates	Diadophis_punctatus	11	0.8757	Absent
Squamates	Eunectes_notaeus	40.9	69.85288645	Absent
Squamates	Naja_melanoleuca	20.5	26.82941184	Absent
Squamates	Urosaurus_ornatus	21.7	0.231868	Absent
Squamates	Uta_stansburiana	14.2	0.326536	Absent
Mammals	Ornithorhynchus_anatinus	167.8	1.907388	Present
Choristoderes	Hyphalosaurus_baitagouensis	10	2.29593	Absent
